cbo2002,titulo_cbo2002,cbo94,ciuo88
5134-20,Barman,5-32.50,5123
5134-25,Copeiro,5-32.60,5123
5134-30,Copeiro de hospital,5-32.65,5123
5134-35,Atendente de lanchonete,5-32.70,5123
5141-05,Ascensorista,5-51.50,9141
5141-10,Garagista,5-51.35,9141
5141-15,Sacristão,5-51.40,9141
5141-20,Zelador de edifício,5-51.20,9141
5142-05,Coletor de lixo domiciliar,5-52.60,9161
5142-15,Varredor de rua,5-52.50,9162
5142-25,Trabalhador de serviços de limpeza e conservação de áreas públicas,5-52.15,9132
5143-05,Limpador de vidros,5-52.30,9132
5143-15,Limpador de fachadas,9-59.75,7143
5143-20,Faxineiro,5-52.20,9132
5143-25,Trabalhador da manutenção de edificações,9-59.20,7143
5151-10,Atendente de enfermagem,5-72.20,5132
5151-20,Visitador sanitário,5-72.30,5132
5152-05,Auxiliar de banco de sangue,5-72.40,5132
5152-15,Auxiliar de laboratório de análises clínicas,5-72.75,5132
5161-05,Barbeiro,5-70.30,5141
5161-10,Cabeleireiro,5-70.20,5141
5161-20,Manicure/pedicure,5-70.50,5141
5161-25,Maquiador,5-70.65,5141
5161-30,Maquiador de caracterização,5-70.60,5141
5162-05,Babá,5-40.35,5131
5162-15,Mãe social,5-40.45,5131
5163-05,"Lavadeiro, em geral",5-60.10,8264
5163-10,Lavador de roupas à máquina,5-60.20,8264
5163-15,Lavador de artefatos de tapeçaria,5-60.25,8264
5163-20,"Limpador a seco, à máquina",5-60.30,8264
5163-25,Passador de roupas em geral,5-60.60,8264
5163-30,Tingidor de roupas,5-60.80,8264
5164-10,"Limpador de roupas a seco, à mão",5-60.40,9133
5164-15,"Passador de roupas, à mão",5-60.70,9133
5165-05,Agente funerário,5-92.20,5143
5166-10,Sepultador,9-91.30,9312
5167-05,Astrólogo,1-99.60,5151
5171-05,Bombeiro de aeródromo,5-81.40,5161
5171-10,Bombeiro civil,5-81.10,5161
5171-15,Salva-vidas,5-89.50,5169
5172-05,Agente de polícia federal,5-82.20,5162
5172-10,Policial rodoviário federal,5-84.30,5162
5172-20,Agente de trânsito,5-84.20,5162
5172-30,Policial penal,5-89.30,5163
5173-05,Vigilante aeroportuário,5-83.40,5169
5173-20,Vigilante florestal,6-59.30,5169
5173-30,Vigilante patrimonial,5-83.20,5169
5174-05,Porteiro (hotel),5-40.55,9152
5174-10,Porteiro de edifícios,5-51.25,9152
5174-15,Agente de portaria,5-99.55,9152
5174-20,Vigia,5-83.30,9152
5191-10,Motofretista,9-85.70,8321
5199-05,Cartazeiro,5-99.45,9120
5199-15,Engraxate,5-99.35,9120
5199-25,Guardador de veículos,5-99.15,9152
5199-35,Lavador de veículos,5-99.25,9142
5199-40,Leiturista,3-99.35,9153
5199-45,Recepcionista de casas de espetáculos,5-99.65,4222
5211-05,Vendedor em comércio atacadista,4-51.20,5220
5211-10,Vendedor de comércio varejista,4-51.30,5220
5211-15,Promotor de vendas,4-21.40,5220
5211-20,Demonstrador de mercadorias,4-53.20,5220
5211-30,Atendente de farmácia - balconista,4-51.70,5220
5211-35,Frentista,4-51.60,5220
5231-15,Chaveiro,8-49.83,7233
5241-05,Vendedor em domicílio,4-52.30,9113
5242-05,Feirante,4-90.40,9111
5242-10,Jornaleiro (em banca de jornal),4-52.40,9112
5243-05,Vendedor ambulante,4-52.20,9112
5243-10,Pipoqueiro ambulante,4-52.50,9111
6110-05,"Produtor agropecuário, em geral",6-11.10,6130
6120-05,Produtor agrícola polivalente,6-11.20,6114
6122-15,Produtor de juta,6-32.40,6111
6125-05,Produtor de árvores frutíferas,6-12.75,6112
6130-05,Criador em pecuária polivalente,6-11.30,6121
6130-10,Criador de animais domésticos,6-12.25,6121
6131-15,Criador de bovinos (leite),6-12.50,6121
6133-05,Avicultor,6-12.60,6122
6201-05,Supervisor de exploração agrícola,6-01.20,6130
6201-10,Supervisor de exploração agropecuária,6-01.10,6130
6201-15,Supervisor de exploração pecuária,6-01.30,6130
6210-05,Trabalhador agropecuário em geral,6-21.05,6130
6220-10,Jardineiro,6-39.40,6113
6220-20,Trabalhador volante da agricultura,6-39.50,6114
6221-05,Trabalhador da cultura de arroz,6-31.30,6111
6221-10,Trabalhador da cultura de cana-de-açúcar,6-31.50,6111
6222-05,Trabalhador da cultura de algodão,6-32.20,6111
6222-10,Trabalhador da cultura de sisal,6-32.30,6111
6222-15,Trabalhador da cultura do rami,6-32.50,6111
6225-05,Trabalhador no cultivo de árvores frutíferas,6-35.10,6114
6226-05,Trabalhador da cultura de cacau,6-36.30,6112
6226-10,Trabalhador da cultura de café,6-36.20,6112
6226-15,Trabalhador da cultura de erva-mate,6-54.30,6112
6226-20,Trabalhador da cultura de fumo,6-36.60,6112
6226-25,Trabalhador da cultura de guaraná,6-54.40,6112
6227-05,Trabalhador na cultura de amendoim,6-37.30,6112
6227-15,Trabalhador na cultura de coco-da-baía,6-37.50,6112
6227-20,Trabalhador na cultura de dendê,6-37.60,6112
6227-25,Trabalhador na cultura de mamona,6-37.40,6112
6227-30,Trabalhador na cultura de soja,6-37.20,6112
6228-10,Trabalhador da cultura de plantas aromáticas e medicinais,6-38.20,6112
6230-05,Adestrador de animais,6-49.60,6129
6230-10,Inseminador,6-49.30,6129
6230-15,Trabalhador de pecuária polivalente,6-21.30,6124
6230-20,Tratador de animais,6-41.70,6129
6231-05,Trabalhador da pecuária (asininos e muares),6-41.50,6129
6231-15,Trabalhador da pecuária (bovinos leite),6-41.30,6121
6231-25,Trabalhador da pecuária (equinos),6-41.40,6129
6232-05,Trabalhador da caprinocultura,6-42.40,6121
6232-10,Trabalhador da ovinocultura,6-42.30,6121
6232-15,Trabalhador da suinocultura,6-42.20,6121
6233-05,Trabalhador da avicultura de corte,6-43.20,6129
6233-15,Operador de incubadora de ovos,6-72.30,6122
6233-20,Trabalhador da cunicultura,6-43.30,6129
6233-25,Sexador,6-49.50,6129
6234-10,Trabalhador na apicultura,6-44.20,6123
6234-20,Trabalhador na sericicultura,6-44.30,6123
6310-10,Catador de mariscos,6-63.30,6153
6311-05,Pescador artesanal de água doce,6-63.20,6152
6312-05,Pescador industrial,6-62.20,6153
6313-20,Criador de ostras,6-64.30,6151
6313-25,Criador de peixes,6-64.20,6151
6313-30,Criador de quelônios,6-64.40,6151
6314-10,Gelador profissional,6-62.30,6153
6320-15,Viveirista florestal,6-39.25,6141
6321-10,Cubador de madeira,6-51.40,6141
6321-25,"Trabalhador de extração florestal, em geral",6-51.10,6141
6322-05,Seringueiro,6-52.20,6141
6322-10,Trabalhador da exploração de espécies produtoras de gomas não elásticas,6-52.30,6141
6322-15,Trabalhador da exploração de resinas,6-52.40,6141
6323-10,Trabalhador da exploração de babaçu,6-53.20,6141
6323-25,Trabalhador da exploração de carnaúba,6-53.30,6141
6323-40,Trabalhador da exploração de malva (pãina),6-53.60,6141
6323-55,Trabalhador da exploração de ouricuri,6-53.40,6141
6323-65,Trabalhador da exploração de piaçava,6-53.50,6141
6324-10,Trabalhador da exploração de castanha,6-54.20,6141
6325-05,"Trabalhador da exploração de árvores e arbustos produtores de substâncias aromáticas, medicinais e tóxicas",6-55.30,6141
6325-15,Trabalhador da exploração de madeiras tanantes,6-55.40,6141
6326-05,Carvoeiro,6-59.20,6142
6410-05,Operador de colheitadeira,6-71.40,8331
6410-10,Operador de máquinas de beneficiamento de produtos agrícolas,6-71.30,8331
6410-15,Tratorista agrícola,6-71.20,8331
6420-15,Operador de trator florestal,6-73.20,8331
7101-20,Supervisor de produção na mineração,7-02.20,7111
7102-05,Mestre (construção civil),7-01.83,7129
7102-10,Mestre de linhas (ferrovias),7-01.85,7129
7102-15,Inspetor de terraplenagem,7-01.87,7129
7102-20,Supervisor de usina de concreto,7-01.84,7129
7102-25,Fiscal de pátio de usina de concreto,7-01.86,7129
7111-05,Amostrador de minérios,7-11.70,7111
7111-10,Canteiro,7-11.10,7111
7111-15,Destroçador de pedra,7-13.20,7113
7111-20,Detonador,7-11.50,7112
7111-25,Escorador de minas,7-11.60,7111
7111-30,Mineiro,7-11.05,7111
7112-15,Operador de máquina cortadora (minas e pedreiras),7-12.20,8111
7112-20,Operador de máquina de extração contínua (minas de carvão),7-12.40,8111
7112-25,Operador de máquina perfuradora (minas e pedreiras),7-12.30,8111
7112-40,Operador de schutthecar,7-12.60,8111
7113-05,Operador de sonda a percussão,7-15.27,8113
7113-10,Operador de sonda rotativa,7-15.25,8113
7113-15,Sondador (poços de petróleo e gás),7-14.20,8113
7113-20,Sondador de poços (exceto de petróleo e gás),7-15.20,8113
7113-25,Plataformista (petróleo),7-14.30,8113
7113-30,Torrista (petróleo),7-14.40,8113
7114-05,Garimpeiro,7-19.20,9311
7114-10,Operador de salina (sal marinho),7-16.20,9311
7121-05,Moleiro de minérios,7-13.30,8112
7121-10,Operador de aparelho de flotação,7-13.60,8112
7121-15,Operador de aparelho de precipitação (minas de ouro ou prata),7-13.70,8112
7121-20,Operador de britador de mandíbulas,7-13.40,8112
7121-30,Operador de jig (minas),7-13.80,8112
7121-35,Operador de peneiras hidráulicas,7-13.50,8112
7122-05,Cortador de pedras,8-20.20,7113
7122-10,Gravador de inscrições em pedra,8-20.60,7113
7122-15,Gravador de relevos em pedra,8-20.70,7113
7122-20,Polidor de pedras,8-20.25,7113
7122-25,Torneiro (lavra de pedra),8-20.50,7113
7122-30,Traçador de pedras,8-20.40,7113
7151-05,Operador de bate-estacas,9-74.40,8332
7151-10,Operador de compactadora de solos,9-74.50,8332
7151-15,Operador de escavadeira,9-74.20,8332
7151-20,Operador de máquina de abrir valas,9-74.25,8332
7151-25,Operador de máquinas de construção civil e mineração,9-74.10,8332
7151-30,Operador de motoniveladora,9-74.45,8332
7151-35,Operador de pá carregadeira,9-74.22,8332
7151-40,"Operador de pavimentadora (asfalto, concreto e materiais similares)",9-74.65,8332
7151-45,Operador de trator de lâmina,9-74.30,8332
7152-05,Calceteiro,9-59.80,7122
7152-10,Pedreiro,9-51.10,7122
7152-15,Pedreiro (chaminés industriais),9-51.25,7122
7152-20,Pedreiro (material refratário),9-51.30,7122
7152-25,Pedreiro (mineração),9-51.35,7122
7152-30,Pedreiro de edificações,9-51.20,7122
7153-05,Armador de estrutura de concreto,9-52.10,7123
7153-10,Moldador de corpos de prova em usinas de concreto,9-52.22,7123
7153-15,Armador de estrutura de concreto armado,9-52.30,7123
7154-05,Operador de betoneira,9-74.70,8212
7154-10,Operador de bomba de concreto,9-74.72,8212
7154-15,Operador de central de concreto,9-74.75,8212
7155-05,Carpinteiro,9-54.10,7124
7155-10,Carpinteiro (esquadrias),9-54.20,7124
7155-15,Carpinteiro (cenários),9-54.30,7124
7155-20,Carpinteiro (mineração),9-54.65,7124
7155-25,Carpinteiro de obras,9-54.15,7124
7155-30,Carpinteiro (telhados),9-54.25,7124
7155-35,Carpinteiro de fôrmas para concreto,9-54.17,7124
7155-45,Montador de andaimes (edificações),9-59.40,7129
7156-05,Eletricista de instalações (cenários),8-55.50,7137
7156-10,Eletricista de instalações (edifícios),8-55.20,7137
7156-15,Eletricista de instalações,8-55.10,7137
7157-05,Aplicador de asfalto impermeabilizante (coberturas),9-56.35,7134
7157-10,Instalador de isolantes acústicos,9-56.40,7134
7157-15,Instalador de isolantes térmicos (refrigeração e climatização),9-56.60,7134
7157-20,Instalador de isolantes térmicos de caldeira e tubulações,9-56.50,7134
7157-25,"Instalador de material isolante, à mão (edificações)",9-56.20,7134
7157-30,"Instalador de material isolante, à máquina (edificações)",9-56.30,7134
7161-05,Acabador de superfícies de concreto,9-52.40,7123
7161-10,Revestidor de superfícies de concreto,9-52.50,7123
7162-05,Telhador (telhas de argila e materiais similares),9-53.20,7131
7162-10,Telhador (telhas de fibrocimento),9-53.70,7131
7162-15,Telhador (telhas metálicas),9-53.50,7131
7162-20,Telhador (telhas plásticas),9-53.30,7131
7163-05,Vidraceiro,9-57.10,7135
7163-10,Vidraceiro (edificações),9-57.20,7135
7163-15,Vidraceiro (vitrais),9-57.50,7135
7164-05,Gesseiro,9-55.20,7133
7165-05,Assentador de revestimentos e laminados de madeira,9-55.60,7132
7165-10,Assentador de revestimentos cerâmicos,9-55.50,7132
7165-15,Pastilheiro,9-55.55,7132
7165-20,Lustrador de piso,9-55.70,7132
7165-25,"Assentador de mármores, granitos e outras pedras decorativas",9-55.35,7132
7165-30,Mosaísta,9-55.45,7132
7165-35,Taqueiro,9-55.65,7132
7166-05,Calafetador,9-59.65,7122
7166-10,Pintor de obras,9-31.20,7141
7166-15,"Revestidor de interiores (papel, material plástico e emborrachados)",9-59.25,7141
7170-05,Demolidor de edificações,9-59.45,9313
7170-10,Operador de martelete,9-74.80,9313
7170-15,Poceiro (edificações),9-59.55,9313
7170-20,Servente de obras,9-59.32,9313
7170-25,Vibradorista,9-74.77,9313
7202-05,Mestre (construção naval),7-01.80,8281
7202-10,Mestre (indústria de automotores e material de transportes),7-01.45,8281
7202-15,Mestre (indústria de máquinas e outros equipamentos mecânicos),7-01.40,8281
7211-05,Ferramenteiro,8-32.10,7222
7211-10,"Ferramenteiro de mandris, calibradores e outros dispositivos",8-32.30,7222
7211-15,Modelador de metais (fundição),8-32.40,7222
7212-05,Operador de máquina de eletroerosão,8-33.27,7223
7212-10,Operador de máquinas operatrizes,8-33.08,7223
7212-20,Operador de usinagem convencional por abrasão,8-33.17,7223
7212-25,Preparador de máquinas-ferramenta,8-34.10,7223
7213-05,Afiador de cardas,8-36.60,7224
7213-10,Afiador de cutelaria,8-36.40,7224
7213-15,Afiador de ferramentas,8-36.30,7224
7213-20,Afiador de serras,8-36.50,7224
7213-25,Polidor de metais,8-36.20,7224
7214-05,Operador de centro de usinagem com comando numérico,8-37.60,8211
7214-10,Operador de fresadora com comando numérico,8-37.30,8211
7214-15,Operador de mandriladora com comando numérico,8-37.50,8211
7214-20,"Operador de máquina eletroerosão, à fio, com comando numérico",8-37.27,8211
7214-25,Operador de retificadora com comando numérico,8-37.17,8211
7214-30,Operador de torno com comando numérico,8-37.20,8211
7221-05,Forjador,8-31.10,7221
7221-10,Forjador a martelo,8-31.30,7221
7221-15,Forjador prensista,8-31.40,7221
7222-05,Fundidor de metais,7-24.20,8122
7222-10,Operador de lingotamento,7-24.60,8122
7222-15,Operador de acabamento de peças fundidas,7-24.70,8122
7222-20,Operador de máquina de fundição,7-24.30,8122
7222-30,Operador de vazamento,7-24.80,8122
7222-35,Preparador de panelas,7-24.75,8122
7223-05,"Macheiro, a mão",7-25.50,7211
7223-10,"Macheiro, a máquina",7-25.60,7211
7223-15,"Moldador e fundição, a mão",7-25.20,7211
7223-20,"Moldador em fundição, a máquina",7-25.40,7211
7223-25,Operador de equipamentos de preparação de areia,7-25.15,7211
7224-10,Estirador de tubos de metal sem costura,7-27.40,8124
7224-15,"Trefilador de metais, à máquina",7-27.30,8124
7231-05,Cementador de metais,7-26.40,8123
7231-10,Normalizador de metais e de compósitos,7-26.50,8123
7231-15,Operador de equipamento para resfriamento,7-26.60,8123
7231-20,Operador de forno de tratamento térmico de metais,7-26.20,8123
7231-25,Temperador de metais e de compósitos,7-26.30,8123
7232-05,Decapador,7-28.45,8223
7232-10,Fosfatizador,7-28.55,8223
7232-15,Galvanizador,7-28.20,8223
7232-20,"Metalizador, à pistola",7-28.50,8223
7232-25,Metalizador (banho quente),7-28.30,8223
7232-30,Operador de máquina recobridora de arame,7-28.40,8223
7232-35,Operador de zincagem (processo eletrolítico),7-28.35,8223
7232-40,Oxidador,7-28.60,8223
7233-10,Pintor a pincel e rolo (exceto obras e estruturas metálicas),9-39.20,7142
7233-15,Pintor de estruturas metálicas,9-31.30,7142
7233-20,Pintor de veículos (fabricação),9-39.60,7142
7233-25,Pintor por imersão,9-39.40,7142
7233-30,"Pintor, a pistola (exceto obras e estruturas metálicas)",9-39.30,7142
7241-05,Assentador de canalização (edificações),8-71.60,7136
7241-10,Encanador,8-71.05,7136
7241-15,Instalador de tubulações,8-71.10,7136
7241-20,Instalador de tubulações (aeronaves),8-71.40,7136
7241-25,Instalador de tubulações (embarcações),8-71.30,7136
7241-30,Instalador de tubulações de gás combustível (produção e distribuição),8-71.20,7136
7241-35,Instalador de tubulações de vapor (produção e distribuição),8-71.50,7136
7242-05,Montador de estruturas metálicas,8-74.40,7214
7242-10,Montador de estruturas metálicas de embarcações,8-74.50,7214
7242-15,Rebitador a martelo pneumático,8-74.70,7214
7242-20,Preparador de estruturas metálicas,8-74.30,7214
7242-25,Riscador de estruturas metálicas,8-74.20,7214
7242-30,"Rebitador, a mão",8-74.60,7214
7243-05,Brasador,8-72.45,7212
7243-10,Oxicortador a mão e a máquina,8-72.55,7212
7243-15,Soldador,8-72.10,7212
7243-20,Soldador a oxigás,8-72.15,7212
7243-25,Soldador elétrico,8-72.25,7212
7244-05,Caldeireiro (chapas de cobre),8-73.30,7213
7244-10,Caldeireiro (chapas de ferro e aço),8-73.50,7213
7244-15,Chapeador,8-73.10,7213
7244-20,Chapeador de carrocerias metálicas (fabricação),8-73.70,7213
7244-25,Chapeador naval,8-73.85,7213
7244-30,Chapeador de aeronaves,8-73.80,7213
7244-40,Serralheiro,8-39.15,7213
7245-05,Operador de máquina de cilindrar chapas,8-73.55,8282
7245-10,Operador de máquina de dobrar chapas,8-73.35,8282
7245-15,Prensista (operador de prensa),8-73.25,8282
7250-10,Ajustador mecânico,8-40.10,7223
7250-15,Ajustador mecânico (usinagem em bancada e em máquinas-ferramentas),8-40.20,7223
7250-20,Ajustador mecânico em bancada,8-40.30,7223
7251-05,"Montador de máquinas, motores e acessórios (montagem em série)",8-49.17,8281
7252-05,Montador de máquinas,8-41.10,8281
7252-10,Montador de máquinas gráficas,8-41.45,8281
7252-15,Montador de máquinas operatrizes para madeira,8-41.55,8281
7252-20,Montador de máquinas têxteis,8-41.50,8281
7252-25,Montador de máquinas-ferramentas (usinagem de metais),8-41.35,8281
7253-05,Montador de equipamento de levantamento,8-41.13,8281
7253-10,Montador de máquinas agrícolas,8-41.60,8281
7253-15,Montador de máquinas de minas e pedreiras,8-41.40,8281
7253-20,Montador de máquinas de terraplenagem,8-41.65,8281
7254-05,Mecânico montador de motores de aeronaves,8-41.20,8281
7254-10,Mecânico montador de motores de embarcações,8-41.25,8281
7254-15,Mecânico montador de motores de explosão e diesel,8-41.15,8281
7254-20,Mecânico montador de turboalimentadores,8-41.30,8281
7256-05,Montador de estruturas de aeronaves,8-41.85,8281
7256-10,Montador de sistemas de combustível de aeronaves,8-41.87,8281
7257-05,Mecânico de refrigeração e climatização,8-41.80,8281
7301-05,Supervisor de montagem e instalação eletroeletrônica,7-01.50,7241
7311-05,Montador de equipamentos eletroeletrônicos odonto-médico-hospitalares,8-52.30,8283
7311-10,Montador de equipamentos eletrônicos (computadores e equipamentos auxiliares),8-52.40,8283
7311-15,Montador de equipamentos eletroeletrônicos (instrumentos de medição),8-51.50,8282
7311-20,Montador de equipamentos eletroeletrônicos (aparelhos eletrodomésticos),8-51.70,8282
7311-25,Montador de equipamentos elétricos (centrais elétricas),8-51.40,8282
7311-30,Montador de equipamentos elétricos (motores e dínamos),8-51.20,8282
7311-35,Montador de equipamentos elétricos,8-51.10,8282
7311-40,Montador de equipamentos eletrônicos (instalações de sinalização),8-52.60,8283
7311-45,Montador de equipamentos eletroeletrônicos (máquinas industriais),8-52.50,8283
7311-50,Montador de equipamentos eletrônicos,8-52.10,8283
7311-55,Montador de equipamentos elétricos (elevadores e equipamentos similares),8-51.60,8282
7311-60,Montador de equipamentos elétricos (transformadores),8-51.30,8282
7311-65,"Bobinador eletricista, à mão",8-59.50,8282
7311-70,"Bobinador eletricista, à máquina",8-59.60,8283
7311-75,Operador de linha de montagem (aparelhos elétricos),8-59.30,8282
7311-80,Operador de linha de montagem (aparelhos eletrônicos),8-59.40,8283
7312-05,"Montador de equipamentos eletrônicos (estação de rádio, tv e equipamentos de radar)",8-52.20,8283
7313-20,Instalador-reparador de linhas e aparelhos de telecomunicações,8-56.50,7244
7321-05,"Eletricista de manutenção de linhas elétricas, telefônicas e de comunicação de dados",8-57.60,7245
7321-10,Emendador de cabos elétricos e telefônicos (aéreos e subterrâneos),8-57.50,7245
7321-15,"Examinador de cabos, linhas elétricas e telefônicas",8-57.70,7245
7321-20,Instalador de linhas elétricas de alta e baixa tensão (rede aérea e subterrânea),8-57.20,7245
7321-25,Instalador eletricista (tração de veículos),8-57.30,7245
7321-30,Instalador-reparador de redes telefônicas e de comunicação de dados,8-57.40,7245
7321-35,Ligador de linhas de comunicação de voz e dados,8-57.80,7245
7411-05,Ajustador de instrumentos de precisão,8-42.30,7311
7411-10,Montador de instrumentos de óptica,8-42.35,7311
7411-15,Montador de instrumentos de precisão,8-42.40,7311
7411-20,Relojoeiro (fabricação),8-42.20,7311
7411-25,Relojoeiro (reparação),8-42.25,7311
7421-05,Afinador de instrumentos musicais,9-41.80,7312
7421-10,Confeccionador de acordeão,9-41.50,7312
7421-15,Confeccionador de instrumentos de corda,9-41.20,7312
7421-20,"Confeccionador de instrumentos de percussão (pele, couro ou plástico)",9-41.45,7312
7421-25,Confeccionador de instrumentos de sopro (madeira),9-41.30,7312
7421-30,Confeccionador de instrumentos de sopro (metal),9-41.40,7312
7421-35,Confeccionador de órgão,9-41.60,7312
7421-40,Confeccionador de piano acústico,9-41.70,7312
7502-05,Supervisor da indústria de minerais não metálicos (exceto os derivados de petróleo e carvão),7-01.35,8131
7510-05,Engastador (jóias),8-80.40,7313
7510-10,Joalheiro,8-80.10,7313
7510-15,Joalheiro (reparações),8-80.20,7313
7510-20,Lapidador (joias),8-80.30,7313
7511-05,Bate-folha a máquina,8-80.60,7313
7511-15,Gravador (joalheria e ourivesaria),8-80.80,7313
7511-20,Laminador de metais preciosos à máquina,8-80.70,7313
7511-25,Ourives,8-80.50,7313
7521-15,Soprador de vidro,8-90.20,7322
7522-10,Cortador de vidro,8-91.56,7322
7522-15,Gravador de vidro a água-forte,8-94.30,7323
7522-20,Gravador de vidro a esmeril,8-94.20,7323
7522-25,Gravador de vidro a jato de areia,8-94.40,7323
7522-30,Lapidador de vidros e cristais,8-91.64,7322
7522-35,Surfassagista,8-91.60,7322
7523-05,Ceramista,8-92.10,7321
7523-10,Ceramista (torno de pedal e motor),8-92.25,7321
7523-15,Ceramista (torno semiautomático),8-92.30,7321
7523-20,Ceramista modelador,8-92.15,7321
7523-25,Ceramista moldador,8-92.20,7321
7524-05,Decorador de cerâmica,8-95.40,7324
7524-10,Decorador de vidro,8-95.55,7324
7524-15,"Decorador de vidro, a pincel",8-95.20,7324
7524-20,Operador de esmaltadeira,8-95.60,7324
7524-25,Operador de espelhamento,8-95.70,7324
7524-30,"Pintor de cerâmica, a pincel",8-95.30,7324
7601-05,Contramestre de acabamento (indústria têxtil),7-04.50,8269
7601-10,Contramestre de fiação (indústria têxtil),7-04.20,8269
7601-15,Contramestre de malharia (indústria têxtil),7-04.40,8269
7601-20,Contramestre de tecelagem (indústria têxtil),7-04.30,8269
7601-25,Mestre (indústria têxtil e de confecções),7-01.65,8269
7604-05,Supervisor (indústria de calçados e artefatos de couro),7-01.70,7442
7606-05,Supervisor das artes gráficas (indústria editorial e gráfica),7-01.77,3119
7611-05,Classificador de fibras têxteis,7-51.15,7431
7611-10,Lavador de lã,7-51.20,7431
7612-05,Operador de abertura (fiação),7-51.60,8261
7612-20,Operador de cardas,7-51.35,8261
7612-25,Operador de conicaleira,7-52.50,8261
7612-30,Operador de filatório,7-52.10,8261
7612-35,Operador de laminadeira e reunideira,7-51.80,7431
7612-40,Operador de maçaroqueira,7-51.75,8261
7612-50,Operador de passador (fiação),7-51.70,8261
7612-55,Operador de penteadeira,7-51.45,8261
7612-60,Operador de retorcedeira,7-52.40,8261
7613-03,Tecelão (redes),7-54.65,8262
7613-06,Tecelão (rendas e bordados),7-54.50,8262
7613-09,Tecelão (tear automático),7-54.42,8262
7613-12,Tecelão (tear jacquard),7-54.45,8262
7613-15,Tecelão (tear mecânico de maquineta),7-54.33,8262
7613-18,Tecelão (tear mecânico de xadrez),7-54.47,8262
7613-21,Tecelão (tear mecânico liso),7-54.32,8262
7613-24,"Tecelão (tear mecânico, exceto jacquard)",7-54.40,8262
7613-27,"Tecelão de malhas, a máquina",7-55.20,8262
7613-30,Tecelão de malhas (máquina circular),7-55.25,8262
7613-33,Tecelão de malhas (máquina retilínea),7-55.27,8262
7613-36,"Tecelão de meias, a máquina",7-55.30,8262
7613-39,Tecelão de meias (máquina circular),7-55.35,8262
7613-42,Tecelão de meias (máquina retilínea),7-55.37,8262
7613-45,"Tecelão de tapetes, a máquina",7-54.60,8262
7613-48,Operador de engomadeira de urdume,7-53.60,8262
7613-51,Operador de espuladeira,7-53.15,8262
7613-54,Operador de máquina de cordoalha,7-59.60,8262
7613-57,Operador de urdideira,7-53.25,8262
7613-60,Passamaneiro a máquina,7-59.25,8262
7613-63,Remetedor de fios,7-53.35,8262
7613-66,Picotador de cartões jacquard,7-53.50,8262
7614-05,Alvejador (tecidos),7-56.15,8264
7614-10,Estampador de tecido,7-56.75,8264
7614-15,Operador de calandras (tecidos),7-56.70,8264
7614-20,Operador de chamuscadeira de tecidos,7-56.47,8264
7614-25,Operador de impermeabilizador de tecidos,7-56.60,8264
7614-30,Operador de máquina de lavar fios e tecidos,7-56.35,8264
7614-35,Operador de rameuse,7-56.80,8264
7618-15,Revisor de tecidos acabados,7-56.85,3152
7621-05,Classificador de peles,7-61.20,7441
7621-10,Descarnador de couros,7-61.35,7441
7621-15,Estirador de couros e peles (preparação),7-61.37,7441
7621-25,Rachador de couros,7-61.40,7441
7622-05,Curtidor (couros e peles),7-61.45,7441
7622-20,Rebaixador de couros,7-61.43,7441
7623-15,Lixador de couros e peles,7-61.47,7441
7623-35,Palecionador de couros e peles,7-61.53,7441
7623-40,Preparador de couros curtidos,7-61.50,7441
7630-05,Alfaiate,7-91.20,7433
7630-20,Costureiro de roupa de couro e pele,7-91.50,7433
7631-10,Cortador de roupas,7-94.50,7435
7631-20,Riscador de roupas,7-94.40,7435
7632-05,"Costureiro de roupas de couro e pele, a máquina na confecção em série",7-95.55,8263
7632-10,Costureiro na confecção em série,7-95.10,8263
7632-15,"Costureiro, a máquina na confecção em série",7-95.50,8263
7633-10,"Bordador, à máquina",7-97.30,8263
7641-05,"Cortador de calçados, a máquina (exceto solas e palmilhas)",8-02.20,7442
7641-10,"Cortador de solas e palmilhas, a máquina",8-02.35,7442
7641-15,Preparador de calçados,8-02.30,7442
7641-20,Preparador de solas e palmilhas,8-02.40,7442
7642-05,"Costurador de calçados, a máquina",8-02.50,8266
7642-10,Montador de calçados,8-02.45,8266
7643-05,Acabador de calçados,8-02.55,7442
7650-10,Chapeleiro de senhoras,7-93.20,7433
7651-05,Cortador de artefatos de couro (exceto roupas e calçados),8-03.30,7442
7652-05,Colchoeiro (confecção de colchões),7-96.40,7437
7652-15,Confeccionador de brinquedos de pano,9-49.40,7436
7652-25,"Confeccionador de velas náuticas, barracas e toldos",7-99.20,7436
7652-30,Estofador de aviões,7-96.50,7437
7652-35,Estofador de móveis,7-96.20,7437
7653-10,"Costurador de artefatos de couro, à máquina (exceto roupas e calçados)",8-03.50,8269
7653-15,Montador de artefatos de couro (exceto roupas e calçados),8-03.60,8269
7661-05,Copiador de chapa,9-24.25,7343
7661-20,Editor de texto e imagem,9-21.43,7341
7661-25,Montador de fotolito (analógico e digital),9-25.37,7343
7661-50,Operador de processo de tratamento de imagem,9-25.55,7343
7662-05,Impressor (serigrafia),9-29.30,8251
7662-15,Impressor de ofsete (plano e rotativo),9-22.40,8251
7662-20,Impressor de rotativa,9-22.30,8251
7662-25,Impressor de rotogravura,9-22.60,8251
7662-30,Impressor digital,9-22.35,8251
7662-45,Impressor tampográfico,9-22.27,8251
